Product Description,Vietnamese,Item #,Category,Unit Price,Packaging,Origin,Method,Weight (lbs),Pack,Pack Type,Case price
PAC COD PORTIONS 5oz (10),CA TUYET CAT KHUC,F1152,SALMON & COD,$3.90 ,1 X 10 LB,USA,WILD,10,VP,Bulk,39
SALMON PORTION PINK 4oz (10),CA HOI HONG CAT KHUC,F1121,SALMON & COD,NJ,1 X 10 LB,CHINA,WILD,10,VP,Bulk,49
SALMON PORTION PINK 5oz (10),CA HOI HONG CAT KHUC,F1122,SALMON & COD,$4.90 ,1 X 10 LB,CHINA,WILD,10,VP,Bulk,49
SALMON PORTION PINK 6oz (10),CA HOI HONG CAT KHUC,F1123,SALMON & COD,NJ,1 X 10 LB,CHINA,WILD,10,VP,Bulk,#N/A
OLIVE BARB 500/800,,F0168,BARD,$3.40 ,1 X 33 Lb,MYANMAR,WILD,33,VP,Bulk,112.2
OLIVE BARB 800/1000,CA CHAY DAC LON,F0169,BARD,$3.30 ,1 X 33 LB,MYANMAR,WILD,33,VP,Bulk,108.9
RIVERBARB 250/300 R/P (30),CA HE,F0162,BARD,$3.90 ,15 X 2 LB,VIETNAM,FARMED,30,Bag,Retail,117
SILVERBARB 300/500 (30),CA ME VINH,F0154,BARD,$3.50 ,15 X 2 LB,VIETNAM,FARMED,30,VP,Retail,105
SILVERBARB 500/800,CA ME VINH,F0155,BARD,$3.60 ,1 X 33 LB,VIETNAM,FARMED,33,VP,Bulk,118.8
LARGE MOUTH BASS 600/800 (40),CA VUOC MIENG RONG,F0525,BASS,$3.10 ,1 X 40 LB,TAIWAN,FARMED,40,IWP,Bulk,124
LARGE MOUTH BASS 800/UP (40),CA VUOC MIENG RONG,F0526,BASS,$3.20 ,1 X 40 LB,TAIWAN,FARMED,40,IWP,Bulk,128
SEABASS 800/1200 (40),CA VUOC,F0437,BASS,$3.40 ,1 X 40 IWP,CHINA,FARMED,40,IWP,Bulk,136
STRIPE BASS 500/800 (25),#N/A,F0520,BASS,OOS,1 X 25 LB,MEXICO,FARMED,,IWP,Bulk,#N/A
STRIPE BASS 800/UP (25),#N/A,F0521,BASS,OOS,1 X 25 LB,MEXICO,FARMED,,IWP,Bulk,#N/A
BLUE RUNNER 1-2# (25),0,F03451, BLUE RUNNER,OOS,1 X 25 LB,MEXICO,WILD,25,Bulk,Bulk,#N/A
BLUE RUNNER 3/4-1# (25),0,F0345, BLUE RUNNER,$1.70 ,1 X 25 LB,MEXICO,WILD,25,Bulk,Bulk,42.5
BROADHEAD GUTTED 100/300 (30),CA TRE NGUYEN CON,F0633,BROADHEAD,$3.90 ,15 X 2 LB,CHINA,FARMED,30,VP,Retail,117
BROADHEAD GUTTED 500/800,CA TRE NGUYEN CON,F0634,BROADHEAD,$3.80 ,1 X 33 LB,VIETNAM,FARMED,33,VP,Bulk,125.4
BROADHEAD GUTTED 800/UP,CA TRE NGUYEN CON,F0635,BROADHEAD,$3.80 ,1 X 33 LB,VIETNAM,FARMED,33,VP,Bulk,125.4
BROADHEAD H/L (30),CA TRE CAT DAU,F0631,BROADHEAD,$4.10 ,15 X 2 LB,VIETNAM,FARMED,30,VP,Retail,123
BROADHEAD STEAKS (30),CA TRE CAT KHOANH,F0638,BROADHEAD,$3.90 ,15 X 2 LB,VIETNAM,FARMED,30,VP,Retail,117
RIVER CARP H&G (30),CA THIEU,F0191,CARP,$2.80 ,30 X 14 OZ,VIETNAM,WILD,26.25,VP,Retail,84
LADY CARP FISH W/R (30),CA LINH NGUYEN CON,F0691,CARP,$3.00 ,30 X 14 OZ,VIETNAM,FARMED,26.25,VP,Retail,90
YLW CROAKER 600/700 (10),CA SOC VANG,F0578,CROAKER,$4.00 ,1 X 10 LB,CHINA,FARMED,10,IQP,Bulk,40
CONGERPIKE EEL CHUNK (30),CA LAT CAT KHUC,F0531,EEL,$3.40 ,20 X 1.5#,VIETNAM,WILD,30,VP,Retail,102
YLW EEL CHUNKS (30),LUON CAT KHUC,F0071,EEL,$7.00 ,30 X 14 OZ,VIETNAM,WILD,26.25,VP,Retail,210
YLW EEL GUTTED W/R (30),LUON NGUYEN CON LAM SACH,F0072,EEL,$7.50 ,30 X 16 OZ,VIETNAM,WILD,30,VP,Retail,225
YLW EEL STRIPS (30),LUON CAT SOI,F0070,EEL,$7.50 ,30 X 14 OZ,MYANMAR,WILD,26.25,VP,Retail,225
EMPEROR FISH 1200/UP,CA GAY ,F0563,EMPEROR FISH,$2.80 ,1 X 33 LB,VIETNAM,WILD,33,VP,Bulk,92.4
EMPEROR FISH 500/800,CA GAY ,F0561,EMPEROR FISH,$2.60 ,1 X 33 LB,INDONESIA,WILD,33,VP,Bulk,85.8
EMPEROR FISH 800/1200,CA GAY ,F0562,EMPEROR FISH,$2.70 ,1 X 33 LB,INDONESIA,WILD,33,VP,Bulk,89.1
